file: Tile_013-047-000000_0-000.s0001_e00.tif; corr: 0; position: (129208.86233037733, 4051.815171600676); grid: (35, 1);
file: Tile_013-048-000000_0-000.s0001_e00.tif; corr: 0; position: (132894.9645504817, 4027.5446412060555); grid: (36, 1);
file: Tile_013-049-000000_0-000.s0001_e00.tif; corr: 0; position: (136587.4631394373, 4004.1556877091207); grid: (37, 1);
file: Tile_013-050-000000_0-000.s0001_e00.tif; corr: 0; position: (140263.08404057653, 3981.766616692221); grid: (38, 1);
file: Tile_013-051-000000_0-000.s0001_e00.tif; corr: 0; position: (143947.78672532568, 3956.87292788957); grid: (39, 1);
file: Tile_013-052-000000_0-000.s0001_e00.tif; corr: 0; position: (147625.11553786317, 3934.29742502718); grid: (40, 1);
file: Tile_013-053-000000_0-000.s0001_e00.tif; corr: 0; position: (151307.31824455806, 3911.8986750043696); grid: (41, 1);
file: Tile_013-054-000000_0-000.s0001_e00.tif; corr: 0; position: (154995.83462644328, 3891.334955922757); grid: (42, 1);
file: Tile_013-055-000000_0-000.s0001_e00.tif; corr: 0; position: (158675.3735546099, 3885.8637124267116); grid: (43, 1);
file: Tile_013-056-000000_0-000.s0001_e00.tif; corr: 0; position: (162350.40505844646, 3866.9131909887583); grid: (44, 1);
file: Tile_013-057-000000_0-000.s0001_e00.tif; corr: 0; position: (166037.23147074395, 3847.6278985311874); grid: (45, 1);
file: Tile_013-058-000000_0-000.s0001_e00.tif; corr: 0; position: (169720.09589959303, 3829.1798416704405); grid: (46, 1);
file: Tile_013-059-000000_0-000.s0001_e00.tif; corr: 0; position: (173401.9242505387, 3813.001905148143); grid: (47, 1);
file: Tile_013-060-000000_0-000.s0001_e00.tif; corr: 0; position: (177083.32533328317, 3795.0209290237253); grid: (48, 1);
file: Tile_013-061-000000_0-000.s0001_e00.tif; corr: 0; position: (180767.6195880912, 3776.642592472097); grid: (49, 1);
file: Tile_013-062-000000_0-000.s0001_e00.tif; corr: 0; position: (184463.02036588645, 3759.047537470273); grid: (50, 1);
file: Tile_013-063-000000_0-000.s0001_e00.tif; corr: 0; position: (188139.02685433597, 3741.277974221215); grid: (51, 1);
file: Tile_013-064-000000_0-000.s0001_e00.tif; corr: 0; position: (191817.30317116086, 3726.6858595077865); grid: (52, 1);
file: Tile_013-065-000000_0-000.s0001_e00.tif; corr: 0; position: (195497.23817436607, 3713.504510538747); grid: (53, 1);
file: Tile_013-066-000000_0-000.s0001_e00.tif; corr: 0; position: (199170.14228824025, 3701.781091617937); grid: (54, 1);
file: Tile_013-067-000000_0-000.s0001_e00.tif; corr: 0; position: (202850.7066818907, 3686.798457386416); grid: (55, 1);
file: Tile_014-012-000000_0-000.s0001_e00.tif; corr: 0; position: (3.07585366917192, 8288.23228317884); grid: (0, 2);
file: Tile_014-013-000000_0-000.s0001_e00.tif; corr: 0; position: (3698.3820394686772, 8276.766218362034); grid: (1, 2);
file: Tile_014-014-000000_0-000.s0001_e00.tif; corr: 0; position: (7405.831325857958, 8271.377575477949); grid: (2, 2);
file: Tile_014-015-000000_0-000.s0001_e00.tif; corr: 0; position: (11105.593702872575, 8256.07994899025); grid: (3, 2);
file: Tile_014-016-000000_0-000.s0001_e00.tif; corr: 0; position: (14787.719906622777, 8238.270621980031); grid: (4, 2);
file: Tile_014-017-000000_0-000.s0001_e00.tif; corr: 0; position: (18473.70946985003, 8223.621798483531); grid: (5, 2);
file: Tile_014-018-000000_0-000.s0001_e00.tif; corr: 0; position: (22176.142337440804, 8208.600583043219); grid: (6, 2);
file: Tile_014-019-000000_0-000.s0001_e00.tif; corr: 0; position: (25877.204158916196, 8194.672268107512); grid: (7, 2);
file: Tile_014-020-000000_0-000.s0001_e00.tif; corr: 0; position: (29562.42840605782, 8180.074481417461); grid: (8, 2);
file: Tile_014-021-000000_0-000.s0001_e00.tif; corr: 0; position: (33267.65784062195, 8165.811164342682); grid: (9, 2);
file: Tile_014-022-000000_0-000.s0001_e00.tif; corr: 0; position: (36963.81649038853, 8150.572497293993); grid: (10, 2);
file: Tile_014-023-000000_0-000.s0001_e00.tif; corr: 0; position: (40653.378945848555, 8137.1227537416635); grid: (11, 2);
file: Tile_014-024-000000_0-000.s0001_e00.tif; corr: 0; position: (44363.65928516281, 8120.338632464533); grid: (12, 2);
file: Tile_014-025-000000_0-000.s0001_e00.tif; corr: 0; position: (48048.7804979076, 8106.500103733633); grid: (13, 2);
file: Tile_014-026-000000_0-000.s0001_e00.tif; corr: 0; position: (51743.61305769492, 8093.303207822391); grid: (14, 2);
file: Tile_014-027-000000_0-000.s0001_e00.tif; corr: 0; position: (55442.55469501321, 8077.447233675404); grid: (15, 2);
file: Tile_014-028-000000_0-000.s0001_e00.tif; corr: 0; position: (59134.00569033774, 8062.776108110978); grid: (16, 2);
file: Tile_014-029-000000_0-000.s0001_e00.tif; corr: 0; position: (62824.460129859275, 8047.393510063681); grid: (17, 2);
file: Tile_014-030-000000_0-000.s0001_e00.tif; corr: 0; position: (66506.33421547589, 8030.886762399008); grid: (18, 2);
file: Tile_014-031-000000_0-000.s0001_e00.tif; corr: 0; position: (70200.80384522735, 8017.409850716605); grid: (19, 2);
file: Tile_014-032-000000_0-000.s0001_e00.tif; corr: 0; position: (73891.45560200518, 8002.649154564402); grid: (20, 2);
file: Tile_014-033-000000_0-000.s0001_e00.tif; corr: 0; position: (77588.71313106024, 7985.83466586611); grid: (21, 2);
file: Tile_014-034-000000_0-000.s0001_e00.tif; corr: 0; position: (81286.55848108075, 8001.955516475064); grid: (22, 2);
file: Tile_014-035-000000_0-000.s0001_e00.tif; corr: 0; position: (84979.064701105, 7986.19845178938); grid: (23, 2);
file: Tile_014-036-000000_0-000.s0001_e00.tif; corr: 0; position: (88666.35611336009, 7968.264231676694); grid: (24, 2);
file: Tile_014-037-000000_0-000.s0001_e00.tif; corr: 0; position: (92349.25129146077, 7951.584052439372); grid: (25, 2);
file: Tile_014-038-000000_0-000.s0001_e00.tif; corr: 0; position: (96039.30250921799, 7933.52229018596); grid: (26, 2);
file: Tile_014-039-000000_0-000.s0001_e00.tif; corr: 0; position: (99734.53033838642, 7918.373318819133); grid: (27, 2);
file: Tile_014-040-000000_0-000.s0001_e00.tif; corr: 0; position: (103423.33947778487, 7899.504842709888); grid: (28, 2);
file: Tile_014-041-000000_0-000.s0001_e00.tif; corr: 0; position: (107102.34531676245, 7879.189728563659); grid: (29, 2);
file: Tile_014-042-000000_0-000.s0001_e00.tif; corr: 0; position: (110798.67347952514, 7855.633332620717); grid: (30, 2);
file: Tile_014-043-000000_0-000.s0001_e00.tif; corr: 0; position: (114475.30827240011, 7834.480616230758); grid: (31, 2);
file: Tile_014-044-000000_0-000.s0001_e00.tif; corr: 0; position: (118160.6298761798, 7814.433461043933); grid: (32, 2);
file: Tile_014-045-000000_0-000.s0001_e00.tif; corr: 0; position: (121851.82477725582, 7790.756710356822); grid: (33, 2);
file: Tile_014-046-000000_0-000.s0001_e00.tif; corr: 0; position: (125530.0420045206, 7767.878826799715); grid: (34, 2);
file: Tile_014-047-000000_0-000.s0001_e00.tif; corr: 0; position: (129209.03707586107, 7744.056576958144); grid: (35, 2);
file: Tile_014-048-000000_0-000.s0001_e00.tif; corr: 0; position: (132891.4085660742, 7720.95153131499); grid: (36, 2);
file: Tile_014-049-000000_0-000.s0001_e00.tif; corr: 0; position: (136580.5443366588, 7697.092501288993); grid: (37, 2);
file: Tile_014-050-000000_0-000.s0001_e00.tif; corr: 0; position: (140276.36152427597, 7672.801066164255); grid: (38, 2);
file: Tile_014-051-000000_0-000.s0001_e00.tif; corr: 0; position: (143966.28927425254, 7649.6969361226365); grid: (39, 2);
file: Tile_014-052-000000_0-000.s0001_e00.tif; corr: 0; position: (147641.89949452836, 7627.336103932881); grid: (40, 2);
file: Tile_014-053-000000_0-000.s0001_e00.tif; corr: 0; position: (151331.7207347317, 7605.747328105172); grid: (41, 2);
file: Tile_014-054-000000_0-000.s0001_e00.tif; corr: 0; position: (155002.61612165143, 7582.910348744772); grid: (42, 2);
file: Tile_014-055-000000_0-000.s0001_e00.tif; corr: 0; position: (158693.59690127766, 7562.753869571687); grid: (43, 2);
file: Tile_014-056-000000_0-000.s0001_e00.tif; corr: 0; position: (162370.44809092168, 7542.336371245299); grid: (44, 2);
file: Tile_014-057-000000_0-000.s0001_e00.tif; corr: 0; position: (166048.7919491536, 7521.3070617721605); grid: (45, 2);
file: Tile_014-058-000000_0-000.s0001_e00.tif; corr: 0; position: (169736.11645874998, 7503.203397198253); grid: (46, 2);
file: Tile_014-059-000000_0-000.s0001_e00.tif; corr: 0; position: (173425.67439171352, 7485.454484446738); grid: (47, 2);
file: Tile_014-060-000000_0-000.s0001_e00.tif; corr: 0; position: (177107.00323522225, 7468.262854531); grid: (48, 2);
file: Tile_014-061-000000_0-000.s0001_e00.tif; corr: 0; position: (180784.77540437825, 7450.340930949911); grid: (49, 2);
file: Tile_014-062-000000_0-000.s0001_e00.tif; corr: 0; position: (184464.80211891775, 7457.632181389257); grid: (50, 2);
file: Tile_014-063-000000_0-000.s0001_e00.tif; corr: 0; position: (188151.2054044109, 7440.602543560846); grid: (51, 2);
file: Tile_014-064-000000_0-000.s0001_e00.tif; corr: 0; position: (191835.9895631087, 7426.582639349341); grid: (52, 2);
file: Tile_014-065-000000_0-000.s0001_e00.tif; corr: 0; position: (195521.49447101366, 7413.875189652004); grid: (53, 2);
file: Tile_014-066-000000_0-000.s0001_e00.tif; corr: 0; position: (199194.5880988828, 7401.719763752357); grid: (54, 2);
file: Tile_014-067-000000_0-000.s0001_e00.tif; corr: 0; position: (202873.00569202396, 7387.609118188921); grid: (55, 2);
file: Tile_015-012-000000_0-000.s0001_e00.tif; corr: 0; position: (1.008613778918516, 11977.194509150315); grid: (0, 3);
file: Tile_015-013-000000_0-000.s0001_e00.tif; corr: 0; position: (3711.1941020954982, 11965.441653792288); grid: (1, 3);
file: Tile_015-014-000000_0-000.s0001_e00.tif; corr: 0; position: (7412.0590574192465, 11951.359608160143); grid: (2, 3);
file: Tile_015-015-000000_0-000.s0001_e00.tif; corr: 0; position: (11104.246504712151, 11936.463355929947); grid: (3, 3);
file: Tile_015-016-000000_0-000.s0001_e00.tif; corr: 0; position: (14787.587204282929, 11920.911884318608); grid: (4, 3);
file: Tile_015-017-000000_0-000.s0001_e00.tif; corr: 0; position: (18482.816943178826, 11906.548349588513); grid: (5, 3);
file: Tile_015-018-000000_0-000.s0001_e00.tif; corr: 0; position: (22182.035514738644, 11891.397633998255); grid: (6, 3);
file: Tile_015-019-000000_0-000.s0001_e00.tif; corr: 0; position: (25871.137121470354, 11875.96306409865); grid: (7, 3);
